Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Season,VegetationType,Heatwave,Drought,Lightning,Classes
41.4,36.4,20.7,0.4,85.1,125.7,452.6,28.5,296.7,24.7,Winter,Forest,0,0,0,fire
30.7,42.6,12.6,0.5,74.3,78.5,311.7,23.0,188.8,16.8,Summer,Agriculture,0,0,0,not fire
42.6,40.7,21.1,0.5,85.9,119.3,431.2,29.8,310.7,27.3,Spring,Shrubland,0,0,0,fire
21.3,70.5,14.0,0.0,57.9,56.8,204.1,18.8,139.8,14.7,Summer,Grassland,0,1,0,fire
15.0,90.5,10.8,0.4,42.9,13.6,63.7,16.0,39.2,8.5,Spring,Shrubland,1,0,0,fire
28.0,38.4,21.8,1.1,78.0,64.3,238.5,27.9,162.7,17.8,Spring,Shrubland,0,0,1,fire
33.3,55.9,20.4,1.5,78.2,91.4,359.2,28.2,239.4,20.8,Winter,Shrubland,0,1,0,fire
33.9,71.1,8.6,4.3,58.4,75.9,316.0,17.1,223.2,15.0,Spring,Forest,0,0,0,not fire
26.5,71.5,18.4,1.8,61.1,57.1,235.4,22.8,132.9,16.3,Summer,Forest,0,0,0,fire
17.8,25.4,3.3,9.4,47.8,61.8,247.2,14.3,160.8,12.9,Spring,Agriculture,0,0,0,not fire
22.2,50.2,17.8,0.3,60.6,52.5,219.6,21.9,151.7,13.7,Autumn,Grassland,0,0,1,fire
36.2,17.7,19.5,2.1,90.0,113.4,391.0,29.4,271.9,20.8,Autumn,Shrubland,0,0,0,not fire
21.6,68.1,8.5,0.5,52.7,32.6,130.7,15.3,78.8,9.8,Autumn,Forest,0,0,0,not fire
31.5,82.6,19.3,1.0,61.9,47.6,175.9,24.2,106.0,14.1,Summer,Forest,1,0,0,fire
28.6,64.4,10.3,0.1,61.1,53.1,199.8,16.8,136.5,13.0,Summer,Forest,0,1,1,fire
32.4,56.4,18.0,1.5,75.8,80.8,312.2,28.6,180.8,18.5,Winter,Shrubland,0,0,0,not fire
25.5,49.1,13.7,0.6,69.4,70.9,244.6,22.7,156.3,15.6,Summer,Grassland,0,0,0,not fire
32.1,69.7,10.3,1.1,58.3,78.2,314.3,17.9,228.3,17.0,Autumn,Forest,0,0,0,not fire
38.5,62.7,10.5,1.0,72.7,89.9,300.3,22.1,210.5,16.8,Summer,Agriculture,0,0,0,not fire
27.7,29.6,16.8,3.0,75.2,70.7,292.6,24.8,208.7,17.4,Summer,Agriculture,1,0,0,fire
28.2,58.6,17.9,3.0,64.6,78.3,262.3,22.3,182.7,16.7,Autumn,Agriculture,0,0,0,not fire
26.1,48.0,18.7,1.3,68.1,72.5,273.2,23.0,174.2,17.3,Winter,Shrubland,0,1,0,fire
23.6,69.8,6.7,1.0,57.9,45.9,180.3,15.8,115.3,9.7,Autumn,Forest,0,1,0,fire
37.1,57.1,5.2,5.5,59.0,114.6,442.6,15.0,303.7,18.8,Spring,Forest,0,0,0,not fire
34.3,27.5,7.0,0.4,73.4,93.0,378.0,20.8,240.7,18.2,Spring,Agriculture,0,0,0,not fire
31.9,42.8,9.7,5.0,64.8,98.2,359.0,20.7,250.0,19.2,Winter,Shrubland,1,0,0,not fire
28.9,60.1,16.0,4.7,57.6,61.1,240.5,21.4,173.9,16.7,Spring,Shrubland,0,0,0,not fire
36.1,55.5,19.4,0.3,76.5,80.2,236.1,24.8,168.4,17.5,Autumn,Shrubland,0,0,0,not fire
40.1,61.1,19.6,2.8,79.3,87.5,324.2,24.8,230.0,20.4,Summer,Grassland,0,1,1,fire
34.5,69.0,14.1,0.9,67.2,76.0,286.7,20.5,189.5,15.4,Winter,Grassland,0,0,0,not fire
29.8,28.5,28.0,1.8,80.9,84.1,309.7,28.8,215.4,20.1,Summer,Grassland,0,0,0,fire
35.0,69.6,7.4,1.9,61.6,64.2,220.1,15.6,133.5,11.1,Summer,Forest,1,0,0,fire
32.6,23.8,16.1,0.0,83.2,100.2,338.7,26.4,243.4,20.5,Winter,Forest,0,0,0,not fire
32.2,63.1,15.1,1.1,70.6,82.6,317.7,20.7,199.2,15.5,Autumn,Agriculture,0,0,1,not fire
37.6,49.6,8.5,1.6,73.4,95.3,322.0,25.0,227.4,19.2,Winter,Forest,0,0,0,not fire
39.6,74.7,13.2,0.5,72.9,63.1,259.0,21.8,181.4,15.2,Winter,Agriculture,0,0,0,not fire
40.6,54.4,23.9,2.9,80.2,90.6,311.9,29.2,211.9,19.5,Summer,Grassland,0,0,0,fire
38.7,16.8,16.8,0.0,93.5,106.8,333.0,28.6,221.5,20.7,Winter,Forest,0,1,0,fire
24.1,59.4,15.4,1.2,63.5,44.4,159.9,22.1,94.6,15.0,Summer,Shrubland,1,0,0,not fire
31.6,66.6,14.1,0.5,64.7,75.3,287.9,20.9,185.0,15.2,Autumn,Grassland,0,0,0,not fire
25.3,53.5,14.8,0.9,66.9,53.4,290.4,21.4,190.4,14.5,Autumn,Grassland,0,0,0,not fire
30.5,38.8,25.1,0.6,79.2,82.0,276.0,27.8,195.6,19.8,Spring,Grassland,0,1,0,fire
21.8,34.7,9.1,4.7,54.9,76.5,249.2,16.7,160.6,14.4,Spring,Agriculture,0,0,0,not fire
37.6,39.6,13.3,3.2,75.8,85.8,295.8,22.5,199.0,15.0,Spring,Agriculture,0,1,0,fire
27.1,5.0,23.5,0.7,86.4,90.7,344.4,29.0,225.3,20.4,Spring,Forest,0,0,0,fire
44.8,48.1,16.1,0.3,85.7,105.5,376.2,25.9,245.4,18.6,Autumn,Grassland,0,0,0,fire
33.3,42.8,11.7,0.6,72.3,87.9,332.5,22.6,211.7,17.3,Summer,Grassland,0,0,0,fire
32.7,44.2,17.7,2.1,79.5,81.3,368.2,26.7,211.4,21.1,Winter,Agriculture,0,0,0,not fire
40.4,52.3,17.4,0.8,83.3,88.2,339.1,27.6,223.9,19.5,Spring,Shrubland,1,0,0,fire
33.0,90.6,24.1,0.0,64.8,61.1,265.0,25.5,176.1,16.8,Summer,Grassland,0,0,0,fire
30.5,80.6,12.3,1.1,56.6,57.7,237.4,17.7,152.8,13.8,Summer,Agriculture,0,0,0,not fire
36.3,23.9,5.1,2.1,73.4,102.4,381.0,19.6,246.9,17.1,Spring,Grassland,1,0,0,fire
34.1,83.3,15.5,0.9,64.2,56.3,200.3,20.6,132.1,12.7,Autumn,Forest,0,0,0,not fire
32.8,39.7,14.2,0.9,74.7,102.6,346.8,25.2,239.1,18.3,Spring,Agriculture,0,0,0,not fire
44.0,22.7,13.9,0.1,93.0,124.3,439.5,29.2,309.6,25.5,Spring,Shrubland,0,0,0,fire
31.4,59.8,14.9,2.9,66.7,73.1,289.4,21.1,196.9,17.1,Summer,Shrubland,0,0,1,fire
26.0,36.2,20.0,0.5,76.2,72.2,214.7,24.0,162.5,15.9,Summer,Grassland,1,0,0,fire
39.9,83.4,8.6,0.6,65.6,75.1,346.0,17.1,212.4,14.8,Summer,Forest,0,0,0,not fire
40.1,41.2,7.8,3.2,75.4,109.7,388.1,21.5,255.5,18.9,Autumn,Shrubland,0,1,0,fire
34.9,71.3,4.2,1.9,60.0,82.2,335.2,16.3,218.9,15.7,Autumn,Forest,0,0,0,not fire
39.5,31.9,9.2,1.7,87.4,114.0,381.2,23.7,238.7,18.0,Summer,Agriculture,0,0,0,fire
40.0,34.4,21.1,0.1,89.1,106.5,326.5,29.7,220.0,19.8,Winter,Forest,0,1,0,fire
34.5,87.3,8.2,1.4,56.4,68.3,265.0,18.2,168.4,13.1,Summer,Forest,0,0,1,not fire
43.1,52.5,14.3,7.2,70.1,103.6,361.2,24.2,242.1,20.7,Winter,Shrubland,0,0,0,not fire
40.9,44.0,14.4,0.8,87.0,108.7,425.9,29.9,282.7,23.8,Winter,Agriculture,0,0,0,not fire
33.3,48.6,18.0,2.4,74.1,94.8,332.9,24.2,241.8,18.4,Winter,Grassland,0,1,0,fire
48.6,50.1,26.9,3.3,98.4,121.3,380.0,34.4,271.6,24.4,Winter,Forest,0,0,0,fire
38.4,83.3,7.6,1.4,62.7,77.0,323.4,16.3,218.2,16.5,Winter,Grassland,0,0,0,not fire
21.9,78.9,13.4,0.3,50.3,39.0,207.0,18.6,145.4,15.0,Winter,Agriculture,1,0,0,not fire
40.6,41.4,20.2,7.6,84.1,117.8,453.7,27.4,296.2,22.2,Summer,Shrubland,0,0,1,fire
26.5,48.2,4.5,0.0,60.5,73.4,301.6,15.4,192.6,13.8,Spring,Grassland,0,0,0,not fire
20.1,56.3,12.1,0.5,55.3,54.2,227.0,17.6,149.5,12.7,Summer,Grassland,1,1,0,fire
34.8,28.9,17.6,0.3,75.2,106.3,378.7,26.4,239.1,20.3,Spring,Forest,0,1,0,fire
26.5,26.8,6.1,6.2,62.8,98.3,366.2,17.1,233.9,16.6,Autumn,Agriculture,0,0,0,not fire
31.1,70.3,15.9,0.2,67.2,67.1,295.2,23.1,181.0,15.9,Spring,Shrubland,0,0,1,not fire
37.4,63.8,21.0,1.5,76.7,77.4,315.7,23.8,220.5,18.3,Spring,Shrubland,0,0,1,fire
23.4,31.8,7.1,1.9,59.7,57.4,206.2,17.1,135.3,12.8,Winter,Forest,0,0,0,not fire
36.5,60.7,16.4,0.3,74.0,80.3,282.2,23.2,194.3,18.4,Autumn,Forest,0,0,0,fire
42.9,70.1,19.3,1.3,79.1,105.5,435.4,27.5,283.1,24.0,Spring,Agriculture,0,1,0,fire
31.8,57.5,22.4,2.0,77.7,88.1,326.6,27.8,222.1,20.2,Summer,Forest,0,0,0,fire
35.4,53.5,9.7,1.2,70.7,87.7,382.1,19.3,240.0,15.6,Spring,Forest,1,0,0,fire
35.8,25.8,23.9,2.8,81.0,103.4,391.1,29.1,268.7,21.9,Spring,Forest,0,0,0,fire
25.7,72.0,10.5,3.0,59.4,48.5,159.7,17.0,102.0,10.2,Autumn,Grassland,0,0,0,not fire
33.6,71.3,17.6,3.2,63.5,75.4,369.0,20.8,237.1,17.9,Winter,Forest,1,0,0,not fire
29.5,39.0,14.7,1.5,71.5,81.9,333.9,23.3,233.0,19.0,Summer,Grassland,0,0,0,not fire
31.0,62.8,18.1,2.3,68.3,72.3,247.0,23.9,156.2,15.8,Summer,Agriculture,1,0,0,fire
41.7,39.2,3.2,2.4,72.7,102.3,397.6,21.0,259.4,19.3,Autumn,Grassland,0,0,0,not fire
34.4,68.2,22.1,0.2,71.0,64.0,239.1,27.6,171.3,17.8,Autumn,Shrubland,0,0,0,not fire
35.4,46.6,11.0,4.7,69.7,106.6,381.8,20.3,249.0,17.2,Summer,Grassland,0,1,0,fire
32.0,55.3,13.0,1.3,68.8,72.2,214.0,22.0,145.7,14.3,Winter,Grassland,0,0,0,not fire
26.1,55.3,10.5,0.7,59.7,68.9,273.9,17.1,172.8,13.1,Autumn,Forest,0,1,1,fire
28.9,45.0,18.2,0.3,70.9,71.5,306.2,24.4,212.6,19.1,Summer,Grassland,0,1,0,not fire
40.0,63.7,10.1,1.6,69.3,91.0,368.4,19.7,245.9,16.2,Autumn,Forest,0,1,0,fire
38.1,53.8,14.8,1.5,73.7,85.7,321.1,24.2,206.6,16.7,Winter,Shrubland,0,0,0,not fire
32.0,29.8,16.9,0.3,81.8,100.0,367.1,27.5,246.0,19.4,Summer,Grassland,0,0,0,fire
29.3,67.2,17.3,0.2,63.7,66.5,268.5,20.5,176.4,13.7,Winter,Shrubland,0,0,0,not fire
30.7,86.7,8.7,0.1,56.0,56.6,244.0,17.4,152.0,14.9,Spring,Forest,0,0,0,fire
35.6,46.9,17.0,3.8,77.7,106.7,383.8,26.4,267.5,23.4,Autumn,Agriculture,0,0,0,not fire
46.9,46.2,25.7,0.6,94.0,119.5,457.0,33.6,309.2,26.4,Spring,Forest,0,0,0,fire
30.2,63.7,11.7,1.9,62.2,80.4,279.1,21.8,199.5,16.3,Spring,Grassland,0,0,0,fire
34.9,49.1,22.1,4.7,77.5,84.1,275.1,28.6,188.4,17.2,Summer,Shrubland,0,1,0,fire
37.4,80.3,22.0,1.2,77.7,81.1,303.5,26.6,209.9,17.8,Autumn,Grassland,0,0,0,fire
42.9,53.0,19.6,1.1,84.8,111.9,362.8,26.4,270.7,22.5,Winter,Forest,1,1,0,fire
42.0,70.2,13.2,0.1,74.1,88.2,347.9,24.3,236.5,19.9,Autumn,Forest,0,0,1,fire
39.9,63.2,20.3,1.9,77.1,93.0,295.3,25.4,206.1,20.1,Autumn,Forest,0,0,1,fire
41.9,55.1,7.0,0.4,81.7,99.0,323.9,22.5,232.0,18.1,Autumn,Forest,1,0,0,fire
45.5,35.1,19.6,1.0,96.2,136.1,467.7,30.8,319.2,25.4,Summer,Forest,0,0,0,fire
25.3,49.2,22.5,1.0,72.4,60.5,205.9,26.5,140.0,16.7,Winter,Grassland,0,0,0,not fire
26.8,52.9,9.9,3.1,64.2,71.3,327.4,17.2,213.0,16.2,Autumn,Forest,0,0,0,fire
26.9,30.5,17.2,0.2,73.5,73.0,297.2,25.1,185.0,16.9,Autumn,Forest,0,0,0,not fire
27.7,68.6,13.7,0.8,58.4,59.8,251.6,20.6,178.9,16.6,Spring,Forest,0,1,0,fire
34.2,61.7,7.5,0.2,63.8,94.3,340.3,19.3,225.1,16.4,Autumn,Forest,1,1,0,fire
42.7,57.6,17.3,1.1,81.4,93.5,325.8,27.8,219.7,19.2,Winter,Grassland,0,0,0,not fire
38.4,86.9,18.4,0.6,66.8,84.5,342.2,23.9,223.6,18.8,Spring,Shrubland,0,0,0,not fire
43.8,55.4,19.7,1.6,84.7,104.2,391.9,28.3,265.3,20.9,Spring,Agriculture,1,0,0,fire
21.9,41.9,17.8,3.1,66.1,61.5,207.6,22.7,144.3,14.8,Winter,Grassland,0,0,0,not fire
30.6,89.9,8.0,11.6,40.8,37.4,244.4,13.3,151.4,12.3,Spring,Shrubland,0,0,0,not fire
45.0,27.7,16.9,0.0,91.2,133.0,434.2,28.8,303.3,25.1,Spring,Agriculture,0,0,0,fire
41.1,43.4,11.4,2.9,77.4,98.8,359.7,24.6,257.9,20.3,Summer,Grassland,0,0,0,fire
38.0,44.7,15.8,3.7,77.0,79.1,339.1,22.4,224.9,15.9,Summer,Agriculture,0,0,0,not fire
41.3,43.4,22.1,2.2,85.9,93.1,352.8,31.4,230.3,20.7,Summer,Shrubland,0,1,1,fire
46.7,31.7,5.0,0.2,85.5,135.2,490.4,21.0,340.9,22.8,Autumn,Agriculture,0,0,0,fire
33.8,63.2,21.3,0.6,71.4,80.0,280.1,26.9,181.2,18.3,Autumn,Grassland,0,0,0,not fire
28.2,10.0,18.4,6.1,77.7,101.2,342.0,25.1,238.9,19.8,Summer,Forest,0,0,1,fire
28.3,56.0,8.9,0.7,63.5,64.1,286.5,21.2,201.4,17.7,Autumn,Forest,0,0,0,not fire
26.9,66.2,15.2,0.3,63.4,59.2,257.9,20.7,168.4,15.7,Spring,Forest,0,1,0,fire
30.6,46.5,13.3,1.0,64.7,69.4,317.5,23.8,215.7,17.8,Spring,Shrubland,1,0,0,fire
29.7,25.8,14.5,2.7,75.8,82.6,303.5,24.5,206.0,16.4,Autumn,Forest,0,0,1,fire
36.9,49.2,10.1,6.1,63.3,90.0,290.1,18.5,205.6,17.2,Summer,Grassland,1,0,0,fire
35.1,59.5,12.5,1.5,71.9,74.9,325.9,20.3,208.4,16.5,Winter,Grassland,0,0,0,not fire
25.8,80.3,10.0,1.3,50.8,22.8,161.1,18.6,78.9,11.0,Autumn,Grassland,0,0,0,not fire
39.5,91.3,17.5,0.7,68.4,57.1,203.8,23.0,141.0,13.4,Autumn,Agriculture,0,1,0,not fire
32.4,31.2,9.8,0.7,74.5,95.1,316.1,22.0,229.2,18.3,Summer,Forest,0,0,0,fire
32.6,58.4,14.2,2.6,62.2,82.7,334.4,18.0,214.2,16.6,Summer,Forest,0,0,0,fire
27.3,64.0,10.5,0.1,62.8,44.7,191.6,16.5,115.8,10.0,Summer,Grassland,0,0,0,fire
28.2,42.5,14.1,1.2,79.4,84.8,253.5,25.1,188.5,16.1,Winter,Forest,0,0,1,fire
28.8,48.3,15.0,3.6,71.0,77.9,267.1,25.2,187.3,17.1,Spring,Grassland,0,0,0,not fire
32.1,81.3,20.8,1.0,68.4,42.0,241.1,24.1,162.1,15.7,Autumn,Forest,1,0,0,fire
33.6,52.3,13.2,0.2,72.3,87.9,334.8,22.0,211.8,17.7,Autumn,Shrubland,1,0,0,not fire
31.0,48.9,10.9,0.5,70.4,79.0,320.6,24.1,214.7,18.5,Winter,Grassland,1,0,0,not fire
41.1,66.8,13.1,0.6,76.3,96.2,348.1,21.9,228.8,18.2,Summer,Agriculture,0,0,0,fire
19.8,82.4,10.2,1.6,47.2,26.6,144.0,13.7,87.0,10.2,Winter,Shrubland,0,1,0,not fire
33.9,39.7,14.5,1.5,78.2,85.0,272.8,26.3,186.6,19.2,Summer,Agriculture,0,0,0,fire
32.6,71.9,20.3,2.0,69.1,82.8,281.2,22.8,180.0,16.8,Summer,Agriculture,0,1,0,fire
21.4,18.0,9.1,2.8,65.2,92.6,355.1,20.4,244.0,17.0,Winter,Forest,0,0,0,not fire
31.7,58.4,23.0,0.4,72.9,73.5,311.2,24.0,209.1,18.7,Spring,Agriculture,0,1,0,not fire
32.1,41.6,14.8,0.6,74.1,92.3,336.9,25.9,235.1,19.4,Spring,Forest,0,0,0,not fire
25.6,60.9,23.7,1.8,69.2,63.8,294.5,24.9,173.3,17.9,Summer,Grassland,0,1,0,fire
40.2,75.7,20.2,0.1,77.3,91.8,308.5,26.9,217.5,18.8,Spring,Agriculture,0,1,0,fire
24.0,31.9,16.3,5.5,65.7,77.8,289.0,21.1,199.0,17.0,Winter,Forest,1,1,1,fire
38.2,74.0,16.9,0.2,72.0,79.9,306.6,23.5,191.2,16.9,Spring,Forest,1,1,0,fire
30.6,28.7,17.2,4.1,73.9,104.9,333.9,25.9,235.0,18.9,Summer,Forest,0,0,0,not fire
31.3,81.7,14.6,1.4,55.9,67.5,282.0,18.3,175.7,16.3,Spring,Grassland,0,0,0,not fire
40.5,38.4,9.5,0.2,81.4,104.1,392.7,22.3,283.0,22.5,Summer,Shrubland,0,0,0,fire
20.6,66.5,16.2,1.1,53.5,31.7,166.4,20.0,122.3,11.8,Winter,Shrubland,0,0,0,not fire
24.3,48.5,6.0,3.5,54.4,64.2,279.8,13.4,167.9,12.6,Autumn,Shrubland,0,1,0,fire
23.2,36.8,6.0,0.4,55.5,80.2,235.9,15.2,148.9,11.2,Spring,Agriculture,0,0,0,not fire
20.3,52.4,18.9,0.6,64.3,46.6,245.1,23.3,150.3,16.4,Summer,Shrubland,1,0,0,fire
29.3,30.4,15.6,3.5,74.8,85.2,301.4,22.1,220.9,17.7,Summer,Grassland,1,1,0,fire
28.0,100.0,7.3,0.7,48.5,31.7,136.6,12.9,93.7,11.6,Spring,Grassland,0,0,0,not fire
34.1,45.8,11.7,0.2,75.6,81.2,324.3,23.9,225.2,18.7,Winter,Shrubland,0,0,0,not fire
27.9,48.7,16.3,1.3,67.9,71.7,316.7,23.8,207.1,18.6,Spring,Forest,0,0,0,not fire
36.3,75.0,15.6,5.1,56.7,82.2,305.5,18.5,204.0,15.2,Summer,Grassland,0,1,0,fire
17.9,48.1,10.4,0.1,58.0,32.3,168.4,19.6,127.0,13.4,Summer,Shrubland,0,0,0,fire
44.9,37.8,24.6,2.9,92.4,119.6,430.1,34.0,278.5,25.3,Autumn,Shrubland,0,0,0,fire
30.6,52.6,20.0,1.1,78.6,72.2,305.2,28.3,196.3,18.4,Summer,Forest,0,1,0,fire
26.2,68.7,15.7,2.9,59.4,54.1,248.6,19.1,176.9,14.6,Summer,Grassland,0,0,0,fire
20.5,45.5,17.1,2.7,64.6,45.4,200.0,21.8,144.9,11.6,Summer,Forest,0,1,0,fire
